QueryORF	QueryGene	ExperimentOutcome	PredictionScore	Literature	FinalCategory
YGR175C	ERG1	Indispensable	0,46		Core
YGR179C	OKP1	Indispensable	0,31		Core
YGR185C	TYS1	Indispensable	0,31		Core
YGR186W	TFG1	Indispensable	0,43		Core
YGR191W	HIP1	Indispensable	0,58		Core
YGR195W	SKI6	Indispensable	0,27		Core
YGR211W	ZPR1		0,31		Core
YGR218W	CRM1	Indispensable	0,42		Core
YGR245C	SDA1	Indispensable	0,21		Core
YGR246C	BRF1	Indispensable	0,30		Core
YGR251W	NOP19	Indispensable	0,30		Core
YGR253C	PUP2	Indispensable	0,13		Core
YGR264C	MES1	Indispensable	0,12		Core
YGR267C	FOL2	Indispensable	0,33		Core
YGR274C	TAF1		0,42		Core
YGR277C	CAB4	Indispensable	0,52		Core
YGR278W	CWC22	Indispensable	0,27		Core
YHL015W	RPS20		0,24		Core
YHR005C-A	TIM10		0,43		Core
YHR019C	DED81	Indispensable	0,20		Core
YHR020W	YHR020W	Indispensable	0,18		Core
YHR024C	MAS2	Indispensable	0,41		Core
YHR027C	RPN1		0,22		Core
YHR036W	BRL1	Indispensable	0,65		Core
YHR040W	BCD1		0,46		Core
YHR062C	RPP1	Indispensable	0,20		Core
YHR065C	RRP3	Indispensable	0,23		Core
YHR068W	DYS1	Indispensable	0,21		Core
YHR069C	RRP4	Indispensable	0,27		Core
YHR072W	ERG7	Indispensable	0,39		Core
YHR072W-A	NOP10		0,40		Core
YHR074W	QNS1	Indispensable	0,37		Core
YHR083W	SAM35	Indispensable	0,55		Core
YHR085W	IPI1	Indispensable	0,37		Core
YHR088W	RPF1		0,25		Core
YHR099W	TRA1		0,46		Core
YHR107C	CDC12	Indispensable	0,42		Core
YHR118C	ORC6	Indispensable	0,39		Core
YHR122W	CIA2		0,44		Core
YHR128W	FUR1	Indispensable	0,36		Core
YHR143W-A	RPC10		0,28		Core
YHR148W	IMP3	Indispensable	0,26		Core
YHR165C	PRP8		0,24		Core
YHR166C	CDC23	Indispensable	0,28		Core
YHR170W	NMD3	Indispensable	0,08		Core
YHR172W	SPC97	Indispensable	0,34		Core
YHR186C	KOG1	Indispensable	0,53		Core
YHR188C	GPI16		0,36		Core
YHR190W	ERG9		0,31		Core
YHR196W	UTP9		0,20		Core
YHR197W	RIX1		0,21		Core
YIL003W	CFD1	Indispensable	0,43		Core
YIL004C	BET1	Indispensable	0,70		Core
YIL019W	FAF1	Indispensable	0,31		Core
YIL021W	RPB3	Indispensable	0,16		Core
YIL022W	TIM44		0,32		Core
YIL026C	IRR1		0,42		Core
YIL061C	SNP1		0,26		Core
YIL062C	ARC15	Indispensable	0,41		Core
YIL068C	SEC6	Indispensable	0,42		Core
YIL075C	RPN2	Indispensable	0,25		Core
YIL078W	THS1	Indispensable	0,21		Core
YIL083C	CAB2	Indispensable	0,44		Core
YIL091C	UTP25	Indispensable	0,24		Core
YIL104C	SHQ1		0,33		Core
YIL109C	SEC24		0,42		Core
YIL126W	STH1	Indispensable	0,50		Core
YIL142W	CCT2	Indispensable	0,19		Core
YIL143C	SSL2	Indispensable	0,28		Core
YIL144W	NDC80	Indispensable	0,37		Core
YIR008C	PRI1	Indispensable	0,35		Core
YIR010W	DSN1		0,37		Core
YIR011C	STS1	Indispensable	0,62		Core
YIR012W	SQT1	Indispensable	0,32		Core
YIR015W	RPR2	Indispensable	0,38		Core
YIR022W	SEC11	Indispensable	0,53		Core
YJL001W	PRE3	Indispensable	0,21		Core
YJL002C	OST1	Indispensable	0,30		Core
YJL008C	CCT8		0,26		Core
YJL011C	RPC17	Indispensable	0,29		Core
YJL012C	VTC4		0,42		Core
YJL014W	CCT3	Indispensable	0,22		Core
YJL026W	RNR2		0,36		Core
YJL031C	BET4	Indispensable	0,37		Core
YJL033W	HCA4	Indispensable	0,16		Core
YJL034W	KAR2	Indispensable	0,33		Core
YJL035C	TAD2	Indispensable	0,62		Core
YJL039C	NUP192		0,46		Core
YJL041W	NSP1	Indispensable	0,54		Core
YJL050W	MTR4	Indispensable	0,17		Core
YJL054W	TIM54	Indispensable	0,39		Core
YJL061W	NUP82	Indispensable	0,57		Core
YJL069C	UTP18	Indispensable	0,22		Core
YJL072C	PSF2	Indispensable	0,23		Core
YJL074C	SMC3	Indispensable	0,36		Core
YJL081C	ARP4		0,39		Core
YJL087C	TRL1	Indispensable	0,44		Core
YJL090C	DPB11	Indispensable	0,54		Core
YJL091C	GWT1	Indispensable	0,41		Core
YJL104W	PAM16	Indispensable	0,51		Core
YJL109C	UTP10		0,17		Core
YJL111W	CCT7	Indispensable	0,19		Core
YJL125C	GCD14	Indispensable	0,56		Core
YJL143W	TIM17	Indispensable	0,36		Core
YJL167W	ERG20	Indispensable	0,40		Core
YJL173C	RFA3	Indispensable	0,50		Core
YJL194W	CDC6		0,41		Core
YJL203W	PRP21	Indispensable	0,19		Core
YJR002W	MPP10		0,28		Core
YJR006W	POL31	Indispensable	0,29		Core
YJR007W	SUI2	Indispensable	0,20		Core
YJR013W	GPI14	Indispensable	0,31		Core
YJR041C	URB2	Indispensable	0,40		Core
YJR045C	SSC1		0,35		Core
YJR046W	TAH11	Indispensable	0,68		Core
YJR057W	CDC8	Indispensable	0,48		Core
YJR064W	CCT5	Indispensable	0,23		Core
YJR065C	ARP3	Indispensable	0,27		Core
YJR067C	YAE1	Indispensable	0,62		Core
YJR068W	RFC2	Indispensable	0,26		Core
YJR072C	NPA3		0,44		Core
YJR093C	FIP1	Indispensable	0,23		Core
YJR112W	NNF1	Indispensable	0,34		Core
YJR123W	RPS5		0,11		Core
YKL004W	AUR1	Indispensable	0,50		Core
YKL012W	PRP40	Indispensable	0,21		Core
YKL013C	ARC19		0,32		Core
YKL014C	URB1		0,31		Core
YKL019W	RAM2	Indispensable	0,37		Core
YKL021C	MAK11	Indispensable	0,56		Core
YKL022C	CDC16	Indispensable	0,19		Core
YKL024C	URA6		0,49		Core
YKL028W	TFA1	Indispensable	0,41		Core
YKL033W	TTI1	Indispensable	0,46		Core
YKL035W	UGP1	Indispensable	0,41		Core
YKL042W	SPC42		0,33		Core
YKL045W	PRI2	Indispensable	0,25		Core
YKL052C	ASK1	Indispensable	0,39		Core
YKL058W	TOA2	Indispensable	0,48		Core
YKL059C	MPE1	Indispensable	0,23		Core
YKL060C	FBA1	Indispensable	0,50		Core
YKL078W	DHR2		0,15		Core
YKL082C	RRP14	Indispensable	0,23		Core
YKL088W	CAB3	Indispensable	0,39		Core
YKL095W	YJU2		0,43		Core
YKL099C	UTP11	Indispensable	0,23		Core
YKL104C	GFA1	Indispensable	0,45		Core
YKL108W	SLD2	Indispensable	0,55		Core
YKL112W	ABF1	Indispensable	0,55		Core
YKL125W	RRN3	Indispensable	0,55		Core
YKL138C-A	HSK3		0,47		Core
YKL144C	RPC25	Indispensable	0,21		Core
YKL145W	RPT1	Indispensable	0,16		Core
YKL152C	GPM1	Indispensable	0,55		Core
YKL165C	MCD4	Indispensable	0,58		Core
YKL172W	EBP2		0,18		Core
YKL173W	SNU114	Indispensable	0,20		Core
YKL182W	FAS1		0,39		Core
YKL186C	MTR2	Indispensable	0,60		Core
YKL193C	SDS22		0,40		Core
YKL195W	MIA40	Indispensable	0,56		Core
YKL196C	YKT6		0,40		Core
YKL210W	UBA1	Indispensable	0,44		Core
YKR002W	PAP1	Indispensable	0,20		Core
YKR008W	RSC4	Indispensable	0,30		Core
YKR022C	NTR2	Indispensable	0,35		Core
YKR025W	RPC37		0,25		Core
YKR037C	SPC34	Indispensable	0,34		Core
YKR062W	TFA2	Indispensable	0,43		Core
YKR063C	LAS1	Indispensable	0,51		Core
YKR068C	BET3	Indispensable	0,35		Core
YKR071C	DRE2	Indispensable	0,58		Core
YKR079C	TRZ1	Indispensable	0,26		Core
YKR081C	RPF2		0,13		Core
YKR083C	DAD2	Indispensable	0,34		Core
YKR086W	PRP16	Indispensable	0,44		Core
YLL003W	SFI1	Indispensable	0,66		Core
YLL004W	ORC3		0,39		Core
YLL008W	DRS1	Indispensable	0,13		Core
YLL011W	SOF1	Indispensable	0,30		Core
YLL018C	DPS1	Indispensable	0,45		Core
YLL031C	GPI13	Indispensable	0,38		Core
YLL034C	RIX7	Indispensable	0,24		Core
YLL035W	GRC3		0,38		Core
YLL036C	PRP19		0,23		Core
YLL050C	COF1	Indispensable	0,59		Core
YLR002C	NOC3	Indispensable	0,19		Core
YLR005W	SSL1	Indispensable	0,52		Core
YLR008C	PAM18		0,44		Core
YLR009W	RLP24	Indispensable	0,23		Core
YLR026C	SED5	Indispensable	0,45		Core
YLR029C	RPL15A	Indispensable	0,59		Core
YLR033W	RSC58	Indispensable	0,53		Core
YLR045C	STU2	Indispensable	0,51		Core
YLR051C	FCF2	Indispensable	0,31		Core
YLR060W	FRS1	Indispensable	0,23		Core
YLR066W	SPC3	Indispensable	0,37		Core
YLR071C	RGR1	Indispensable	0,33		Core
YLR075W	RPL10	Indispensable	0,29		Core
YLR078C	BOS1	Indispensable	0,47		Core
YLR086W	SMC4	Indispensable	0,40		Core
YLR088W	GAA1	Indispensable	0,41		Core
YLR100W	ERG27	Indispensable	0,47		Core
YLR103C	CDC45		0,33		Core
YLR105C	SEN2	Indispensable	0,32		Core
YLR106C	MDN1	Indispensable	0,35		Core
YLR115W	CFT2	Indispensable	0,15		Core
YLR116W	MSL5	Indispensable	0,23		Core
YLR117C	CLF1	Indispensable	0,19		Core
YLR127C	APC2	Indispensable	0,31		Core
YLR129W	DIP2	Indispensable	0,18		Core
YLR132C	USB1		0,47		Core
YLR145W	RMP1	Indispensable	0,37		Core
YLR147C	SMD3	Indispensable	0,40		Core
YLR163C	MAS1	Indispensable	0,38		Core
YLR166C	SEC10	Indispensable	0,43		Core
YLR167W	RPS31	Indispensable	0,42		Core
YLR175W	CBF5	Indispensable	0,10		Core
YLR195C	NMT1		0,47		Core
YLR196W	PWP1	Indispensable	0,10		Core
YLR197W	NOP56	Indispensable	0,12		Core
YLR212C	TUB4	Indispensable	0,44		Core
YLR222C	UTP13	Indispensable	0,20		Core
YLR229C	CDC42	Indispensable	0,55		Core
YLR243W	YLR243W	Indispensable	0,44		Core
YLR249W	YEF3	Indispensable	0,41		Core
YLR259C	HSP60	Indispensable	0,34		Core
YLR272C	YCS4		0,41		Core
YLR274W	MCM5		0,17		Core
YLR275W	SMD2	Indispensable	0,33		Core
YLR276C	DBP9		0,14		Core
YLR277C	YSH1	Indispensable	0,17		Core
YLR291C	GCD7		0,29		Core
YLR293C	GSP1		0,48		Core
YLR298C	YHC1	Indispensable	0,32		Core
YLR314C	CDC3	Indispensable	0,47		Core
YLR316C	TAD3	Indispensable	0,50		Core
YLR321C	SFH1		0,31		Core
YLR323C	CWC24	Indispensable	0,34		Core
YLR336C	SGD1	Indispensable	0,34		Core
YLR340W	RPP0		0,28		Core
YLR347C	KAP95		0,36		Core
YLR355C	ILV5	Indispensable	0,57		Core
YLR378C	SEC61		0,32		Core
YLR383W	SMC6	Indispensable	0,51		Core
YLR397C	AFG2	Indispensable	0,27		Core
YLR409C	UTP21	Indispensable	0,15		Core
YLR424W	SPP382	Indispensable	0,30		Core
YLR430W	SEN1		0,36		Core
YLR438C-A	LSM3	Indispensable	0,32		Core
YLR440C	SEC39		0,43		Core
YLR457C	NBP1	Indispensable	0,60		Core
YLR459W	GAB1	Indispensable	0,40		Core
YML010W	SPT5	Indispensable	0,36		Core
YML015C	TAF11	Indispensable	0,31		Core
YML023C	NSE5	Indispensable	0,41		Core
YML025C	YML6		0,36		Core
YML031W	NDC1		0,45		Core
YML046W	PRP39	Indispensable	0,22		Core
YML049C	RSE1	Indispensable	0,26		Core
YML065W	ORC1		0,39		Core
YML069W	POB3	Indispensable	0,43		Core
YML077W	BET5		0,43		Core
YML085C	TUB1		0,35		Core
YML092C	PRE8		0,15		Core
YML093W	UTP14	Indispensable	0,26		Core
YML098W	TAF13	Indispensable	0,44		Core
YML114C	TAF8	Indispensable	0,41		Core
YML125C	PGA3	Indispensable	0,63		Core
YML126C	ERG13		0,37		Core
YML127W	RSC9	Indispensable	0,36		Core
YML130C	ERO1		0,36		Core
YMR001C	CDC5		0,48		Core
YMR005W	TAF4		0,37		Core
YMR013C	SEC59	Indispensable	0,49		Core
YMR043W	MCM1		0,41		Core
YMR049C	ERB1	Indispensable	0,11		Core
YMR059W	SEN15	Indispensable	0,40		Core
YMR061W	RNA14		0,21		Core
YMR076C	PDS5	Indispensable	0,65		Core
YMR093W	UTP15	Indispensable	0,24		Core
YMR112C	MED11	Indispensable	0,44		Core
YMR113W	FOL3	Indispensable	0,57		Core
YMR117C	SPC24	Indispensable	0,39		Core
YMR128W	ECM16		0,18		Core
YMR131C	RRB1	Indispensable	0,18		Core
YMR146C	TIF34	Indispensable	0,21		Core
YMR149W	SWP1	Indispensable	0,36		Core
YMR168C	CEP3	Indispensable	0,56		Core
YMR203W	TOM40	Indispensable	0,29		Core
YMR208W	ERG12	Indispensable	0,34		Core
YMR213W	CEF1	Indispensable	0,25		Core
YMR220W	ERG8	Indispensable	0,56		Core
YMR227C	TAF7	Indispensable	0,44		Core
YMR229C	RRP5	Indispensable	0,10		Core
YMR235C	RNA1	Indispensable	0,38		Core
YMR236W	TAF9	Indispensable	0,41		Core
YMR240C	CUS1	Indispensable	0,18		Core
YMR260C	TIF11	Indispensable	0,44		Core
YMR268C	PRP24	Indispensable	0,36		Core
YMR277W	FCP1	Indispensable	0,48		Core
YMR281W	GPI12	Indispensable	0,41		Core
YMR288W	HSH155	Indispensable	0,17		Core
YMR290C	HAS1	Indispensable	0,08		Core
YMR301C	ATM1	Indispensable	0,51		Core
YMR309C	NIP1	Indispensable	0,16		Core
YMR314W	PRE5	Indispensable	0,20		Core
YNL002C	RLP7	Indispensable	0,16		Core
YNL026W	SAM50	Indispensable	0,41		Core
YNL038W	GPI15	Indispensable	0,47		Core
YNL039W	BDP1	Indispensable	0,30		Core
